2, 11075, Note_on_c, 0, 55, 90
2, 11075, Note_on_c, 0, 64, 90
2, 11085, Note_on_c, 0, 54, 0
2, 11220, Note_on_c, 0, 66, 90
2, 11225, Note_on_c, 0, 55, 0
2, 11225, Note_on_c, 0, 64, 0
2, 11225, Note_on_c, 0, 57, 90
2, 11385, Note_on_c, 0, 67, 90
2, 11385, Note_on_c, 0, 59, 90
2, 11395, Note_on_c, 0, 57, 0
2, 11405, Note_on_c, 0, 66, 0
2, 11525, Note_on_c, 0, 64, 90
2, 11525, Note_on_c, 0, 55, 90
2, 11535, Note_on_c, 0, 67, 0
2, 11540, Note_on_c, 0, 59, 0
2, 11675, Note_on_c, 0, 64, 0
2, 11675, Note_on_c, 0, 66, 90
2, 11680, Note_on_c, 0, 57, 90
2, 11685, Note_on_c, 0, 55, 0
2, 11820, Note_on_c, 0, 67, 90
2, 11825, Note_on_c, 0, 66, 0
2, 11825, Note_on_c, 0, 59, 90
2, 11830, Note_on_c, 0, 57, 0
2, 11950, Note_on_c, 0, 59, 0
2, 11975, Note_on_c, 0, 67, 0
2, 11975, Note_on_c, 0, 61, 90
2, 11975, Note_on_c, 0, 52, 90
2, 12135, Note_on_c, 0, 64, 90
2, 12145, Note_on_c, 0, 61, 0
2, 12220, Note_on_c, 0, 64, 0
2, 12280, Note_on_c, 0, 67, 90
2, 12390, Note_on_c, 0, 52, 0
2, 12420, Note_on_c, 0, 62, 90
2, 12515, Note_on_c, 0, 62, 0
2, 12580, Note_on_c, 0, 60, 90
2, 12635, Note_on_c, 0, 67, 0
2, 12720, Note_on_c, 0, 67, 90
2, 12730, Note_on_c, 0, 59, 90
2, 12735, Note_on_c, 0, 60, 0
2, 12865, Note_on_c, 0, 59, 0
2, 12870, Note_on_c, 0, 66, 90
2, 12870, Note_on_c, 0, 57, 90
2, 12880, Note_on_c, 0, 67, 0
2, 13015, Note_on_c, 0, 66, 0
2, 13015, Note_on_c, 0, 55, 90
2, 13015, Note_on_c, 0, 64, 90
2, 13025, Note_on_c, 0, 57, 0
2, 13155, Note_on_c, 0, 54, 90
2, 13170, Note_on_c, 0, 63, 90
2, 13175, Note_on_c, 0, 55, 0
2, 13200, Note_on_c, 0, 64, 0
2, 13250, Note_on_c, 0, 54, 0
2, 13315, Note_on_c, 0, 47, 90
2, 13320, Note_on_c, 0, 66, 90
2, 13335, Note_on_c, 0, 63, 0
2, 13450, Note_on_c, 0, 66, 0
2, 13460, Note_on_c, 0, 47, 0
2, 13465, Note_on_c, 0, 69, 90
2, 13470, Note_on_c, 0, 49, 90
2, 13615, Note_on_c, 0, 51, 90
2, 13620, Note_on_c, 0, 49, 0
2, 13760, Note_on_c, 0, 51, 0
2, 13765, Note_on_c, 0, 52, 90
2, 13795, Note_on_c, 0, 69, 0
2, 13915, Note_on_c, 0, 54, 90
2, 13915, Note_on_c, 0, 69, 90
2, 13940, Note_on_c, 0, 52, 0
2, 14060, Note_on_c, 0, 55, 90
2, 14065, Note_on_c, 0, 67, 90
2, 14070, Note_on_c, 0, 54, 0
2, 14075, Note_on_c, 0, 69, 0
2, 14205, Note_on_c, 0, 66, 90
2, 14210, Note_on_c, 0, 67, 0
2, 14210, Note_on_c, 0, 57, 90
2, 14225, Note_on_c, 0, 55, 0
2, 14365, Note_on_c, 0, 66, 0
2, 14365, Note_on_c, 0, 64, 90
2, 14365, Note_on_c, 0, 59, 90
2, 14370, Note_on_c, 0, 57, 0
2, 14520, Note_on_c, 0, 67, 90
2, 14525, Note_on_c, 0, 64, 0
2, 14665, Note_on_c, 0, 67, 0
2, 14665, Note_on_c, 0, 71, 90
2, 14810, Note_on_c, 0, 57, 90
2, 14820, Note_on_c, 0, 59, 0
2, 14965, Note_on_c, 0, 55, 90
2, 14970, Note_on_c, 0, 57, 0
2, 15115, Note_on_c, 0, 59, 90
2, 15115, Note_on_c, 0, 67, 90
2, 15120, Note_on_c, 0, 71, 0
2, 15120, Note_on_c, 0, 55, 0
2, 15270, Note_on_c, 0, 59, 0
2, 15270, Note_on_c, 0, 72, 90
2, 15270, Note_on_c, 0, 64, 90
2, 15275, Note_on_c, 0, 67, 0
2, 15420, Note_on_c, 0, 71, 90
2, 15440, Note_on_c, 0, 72, 0
2, 15560, Note_on_c, 0, 69, 90
2, 15575, Note_on_c, 0, 71, 0
2, 15705, Note_on_c, 0, 61, 90
2, 15730, Note_on_c, 0, 64, 0
2, 15860, Note_on_c, 0, 66, 90
2, 15865, Note_on_c, 0, 61, 0
2, 16015, Note_on_c, 0, 66, 0
2, 16015, Note_on_c, 0, 64, 90
2, 16115, Note_on_c, 0, 64, 0
2, 16160, Note_on_c, 0, 63, 90
2, 16310, Note_on_c, 0, 66, 90
2, 16315, Note_on_c, 0, 69, 0
2, 16470, Note_on_c, 0, 71, 90
2, 16485, Note_on_c, 0, 66, 0
2, 16615, Note_on_c, 0, 69, 90
2, 16635, Note_on_c, 0, 71, 0
2, 16760, Note_on_c, 0, 63, 0
2, 16760, Note_on_c, 0, 67, 90
2, 16760, Note_on_c, 0, 64, 90
2, 16770, Note_on_c, 0, 69, 0
2, 16860, Note_on_c, 0, 64, 0
2, 16915, Note_on_c, 0, 52, 90
2, 17030, Note_on_c, 0, 52, 0
2, 17065, Note_on_c, 0, 64, 90
2, 17210, Note_on_c, 0, 64, 0
2, 17210, Note_on_c, 0, 62, 90
2, 17210, Note_on_c, 0, 66, 90
2, 17225, Note_on_c, 0, 67, 0
2, 17310, Note_on_c, 0, 66, 0
2, 17365, Note_on_c, 0, 62, 0
2, 17365, Note_on_c, 0, 64, 90
2, 17370, Note_on_c, 0, 60, 90
2, 17520, Note_on_c, 0, 52, 90
2, 17535, Note_on_c, 0, 60, 0
2, 17670, Note_on_c, 0, 52, 0
2, 17670, Note_on_c, 0, 60, 90
2, 17725, Note_on_c, 0, 64, 0
2, 17815, Note_on_c, 0, 60, 0
2, 17820, Note_on_c, 0, 59, 90
2, 17820, Note_on_c, 0, 62, 90
2, 17910, Note_on_c, 0, 62, 0
2, 17985, Note_on_c, 0, 59, 0
2, 17985, Note_on_c, 0, 57, 90
2, 17985, Note_on_c, 0, 60, 90
2, 17985, Note_on_c, 0, 64, 90
2, 18135, Note_on_c, 0, 52, 90
2, 18150, Note_on_c, 0, 57, 0
2, 18285, Note_on_c, 0, 57, 90
2, 18290, Note_on_c, 0, 52, 0
2, 18430, Note_on_c, 0, 62, 90
2, 18445, Note_on_c, 0, 64, 0
2, 18480, Note_on_c, 0, 60, 0
2, 18495, Note_on_c, 0, 62, 0
2, 18590, Note_on_c, 0, 59, 90
2, 18595, Note_on_c, 0, 71, 90
2, 18635, Note_on_c, 0, 57, 0
2, 18735, Note_on_c, 0, 52, 90
2, 18880, Note_on_c, 0, 54, 90
2, 18890, Note_on_c, 0, 52, 0
2, 19020, Note_on_c, 0, 59, 0
2, 19020, Note_on_c, 0, 54, 0
2, 19030, Note_on_c, 0, 64, 90
2, 19030, Note_on_c, 0, 55, 90
2, 19115, Note_on_c, 0, 64, 0
2, 19125, Note_on_c, 0, 71, 0
2, 19180, Note_on_c, 0, 71, 90
2, 19185, Note_on_c, 0, 55, 0
2, 19185, Note_on_c, 0, 67, 90
2, 19185, Note_on_c, 0, 49, 90
2, 19330, Note_on_c, 0, 52, 90
2, 19340, Note_on_c, 0, 49, 0
2, 19385, Note_on_c, 0, 67, 0
2, 19395, Note_on_c, 0, 52, 0
2, 19470, Note_on_c, 0, 64, 90
2, 19485, Note_on_c, 0, 55, 90
2, 19620, Note_on_c, 0, 72, 90
2, 19630, Note_on_c, 0, 64, 0
2, 19635, Note_on_c, 0, 71, 0
2, 19755, Note_on_c, 0, 72, 0
2, 19765, Note_on_c, 0, 61, 90
2, 19770, Note_on_c, 0, 69, 90
2, 19780, Note_on_c, 0, 55, 0
2, 19915, Note_on_c, 0, 55, 90
2, 20060, Note_on_c, 0, 61, 0
2, 20070, Note_on_c, 0, 63, 90
2, 20070, Note_on_c, 0, 54, 90
2, 20075, Note_on_c, 0, 55, 0
2, 20200, Note_on_c, 0, 64, 90
2, 20205, Note_on_c, 0, 63, 0
2, 20205, Note_on_c, 0, 52, 90
2, 20215, Note_on_c, 0, 54, 0
2, 20305, Note_on_c, 0, 64, 0
2, 20335, Note_on_c, 0, 69, 0
2, 20340, Note_on_c, 0, 52, 0
2, 20360, Note_on_c, 0, 71, 90
2, 20360, Note_on_c, 0, 66, 90
2, 20360, Note_on_c, 0, 51, 90
2, 20495, Note_on_c, 0, 66, 0
2, 20505, Note_on_c, 0, 69, 90
2, 20515, Note_on_c, 0, 51, 0
2, 20515, Note_on_c, 0, 54, 90
2, 20595, Note_on_c, 0, 69, 0
2, 20670, Note_on_c, 0, 63, 90
2, 20675, Note_on_c, 0, 54, 0
2, 20675, Note_on_c, 0, 57, 90
2, 20820, Note_on_c, 0, 63, 0
2, 20825, Note_on_c, 0, 59, 90
2, 20895, Note_on_c, 0, 71, 0
